Date,AAPL,MSFT,NVDA,SPY,TSLA
2022-01-03,177.93972778320312,322.46240234375,30.026140213012695,450.64453125,399.9266662597656
2022-01-04,175.68136596679688,316.93304443359375,29.19776153564453,450.4934997558594,383.1966552734375
2022-01-05,171.00828552246094,304.76666259765625,27.51706886291504,441.8430480957031,362.7066650390625
2022-01-06,168.15354919433594,302.3585510253906,28.089262008666992,441.427978515625,354.8999938964844
2022-01-07,168.31976318359375,302.5125732421875,27.161191940307617,439.6827697753906,342.32000732421875
2022-01-10,168.3393096923828,302.734130859375,27.313709259033203,439.1356201171875,352.7066650390625
2022-01-11,171.16473388671875,303.41802978515625,27.729398727416992,443.1353759765625,354.79998779296875
2022-01-12,171.60464477539062,306.5873107910156,27.910823822021484,444.3334655761719,368.739990234375
2022-01-13,168.3393096923828,293.61175537109375,26.491310119628906,438.2112121582031,343.85333251953125
2022-01-14,169.19967651367188,298.8135986328125,26.857154846191406,438.3904113769531,349.8699951171875
2022-01-18,166.0027313232422,291.5406188964844,25.821426391601562,430.62664794921875,343.5033264160156
2022-01-19,162.5126190185547,292.1956787109375,24.988059997558594,426.1552429199219,331.8833312988281
2022-01-20,160.83106994628906,290.5292053222656,24.073944091796875,421.4385986328125,332.0899963378906
2022-01-21,158.77806091308594,285.1636657714844,23.300390243530273,413.16546630859375,314.6333312988281
2022-01-24,158.00572204589844,285.49114990234375,23.298398971557617,414.9200439453125,310.0
2022-01-25,156.2068328857422,277.9005126953125,22.25369644165039,409.85430908203125,306.1333312988281
2022-01-26,156.11886596679688,285.81866455078125,22.700284957885742,408.82611083984375,312.4700012207031
2022-01-27,155.6593780517578,288.8338317871094,21.874893188476562,406.8073425292969,276.3666687011719
2022-01-28,166.52093505859375,296.94476318359375,22.7680721282959,416.91046142578125,282.1166687011719
2022-01-31,170.87142944335938,299.5649108886719,24.40888214111328,424.41949462890625,312.239990234375
2022-02-01,170.70521545410156,297.4264221191406,24.560409545898438,427.28729248046875,310.4166564941406
2022-02-02,171.90773010253906,301.9538269042969,25.162508010864258,431.43792724609375,301.88665771484375
2022-02-03,169.033447265625,290.1920471191406,23.872583389282227,421.29705810546875,297.0466613769531
2022-02-04,168.7495574951172,294.7098388671875,24.242414474487305,423.2781677246094,307.7733459472656
2022-02-07,168.03500366210938,289.903076171875,24.65012550354004,421.919677734375,302.4466552734375
2022-02-08,171.1380615234375,293.38055419921875,25.0289306640625,425.3911437988281,307.3333435058594
2022-02-09,172.55743408203125,299.78643798828125,26.62089729309082,431.6171569824219,310.6666564941406
2022-02-10,168.48526000976562,291.28057861328125,25.742673873901367,423.86297607421875,301.51666259765625
2022-02-11,165.0787811279297,284.21002197265625,23.873577117919922,415.5049133300781,286.6666564941406
2022-02-14,165.31369018554688,284.17144775390625,24.19057846069336,414.1465148925781,291.9200134277344
2022-02-15,169.14112854003906,289.440673828125,26.411561965942383,420.8253479003906,307.4766540527344
2022-02-16,168.9062042236328,289.1028137207031,26.427509307861328,421.29705810546875,307.7966613769531
2022-02-17,165.31369018554688,280.6373596191406,24.429824829101562,412.2975769042969,292.1166687011719
2022-02-18,163.76707458496094,277.9344787597656,23.567546844482422,409.62786865234375,285.6600036621094
2022-02-22,160.84999084472656,277.7318115234375,23.31633758544922,405.2318115234375,273.84332275390625
2022-02-23,156.68972778320312,270.5403747558594,22.316497802734375,398.0437316894531,254.67999267578125
2022-02-24,159.3033905029297,284.36334228515625,23.67321014404297,404.0337829589844,266.92333984375
2022-02-25,161.36878967285156,286.98883056640625,24.08092498779297,412.9484558105469,269.9566650390625
2022-02-28,161.6331024169922,288.4175720214844,24.308204650878906,411.89190673828125,290.1433410644531
2022-03-01,159.753662109375,284.7108154296875,23.403066635131836,405.61865234375,288.1233215332031
2022-03-02,163.04269409179688,289.7689208984375,24.147842407226562,413.08056640625,293.2966613769531
